company_short_name,company_full_name,ogrn,inn,product,role,urls
"ОСТРОВЦЫ ИНВЕСТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТРОВЦЫ ИНВЕСТ""",1157746740821,7704326114,Осоед,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ПЛОЩАДЬ, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЛОЩАДЬ""",1237700463032,9723203841,"ПАК ""Площадь"" для донаведения","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","areasystems.ru, areasystems.tech"
"ПЕРУН-Ф, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ООО ""ПЕРУН-Ф""""",1246100017514,6194002340,Перун-Ф,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"СКБ ПИРАНЬЯ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМБИРСКОЕ КОНСТРУКТОРСКОЕ БЮРО ПИРАНЬЯ""",1237300010430,7300024069,"Пиранья, ретрансляторы, расходники","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",piranhafpv.ru
"ПОБЕДА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОБЕДА""",1234500005288,4500011417,Победа,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"СПДББК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПДББК""",1157847359273,7838044584,"Привет-82МК2, Привет-120","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",oko-kb.ru
"ЦКБР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР КОМПЛЕКСНЫХ БЕСПИЛОТНЫХ РЕШЕНИЙ""",1225000003458,5040176793,"Проект ""Хруст""","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"РОКОТ ТЕХ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОКОТ ТЕХ""",1247600010954,7606140961,Пропеллеры,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",rokottech.ru
"ПТЕРО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПТЕРО""",1177746381086,7714989706,"Птеро-G1, Птеро-H2, Перо","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",ptero.ru
"ХИТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАБИННОТЕХ""",1222700005527,2721254051,"Пчела, Шершень","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",хабиннотех.рф
"НПК БЕСПИЛОТНЫЕ СИСТЕМЫ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ БЕСПИЛОТНЫЕ СИСТЕМЫ""",1245000115018,5074091227,"Росомаха, Сапсан-И10, Лунь-7Б, Кольчуга","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",bsp-systems.ru
"ТОЧКА СБОРКИ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОЧКА СБОРКИ""",1237700886048,9729362206,"Саранча, Русская пчела","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","sarancha-dron.ru, drone-market.ru"
"ТОЧКА СБОРКИ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОЧКА СБОРКИ""",1246100015050,6165239715,"Саранча, Русская пчела","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","sarancha-dron.ru, drone-market.ru"
"РОБОАВИА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОБОАВИА""",1159102044991,9102166435,"Сарыч, Кром","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","robo-avia.ru, https://t.me/s/kb70ru"
"КИНГПРО, ООО
","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИНГПРО""",1247700607450,9725168367,Секира,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ГАГАРИНГ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАГАРИНГ""",1232300051235,2312321660,"Секира, Лайка, Геркулес, Арбалет, антенны, радиоэлектроника",Ритейл,gagaring.it-shop-tg.ru
"ПАСЕКА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАСЕКА""",1237700620739,9710120524,Сибирячок,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"СИБНК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКАЯ НАВИГАЦИОННАЯ КОМПАНИЯ""",1184205024849,4205376019,Сибирячок,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ЭВР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭВР""",1237700273744,9710112989,Сибирячок,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ВЕРТИКАЛЬ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕРТИКАЛЬ""",1246600015750,6679174872,Сифа,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",vvzdrone.ru
"ИАЗ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЖЕВСКИЙ АВИАЦИОННЫЙ ЗАВОД""",1231800002609,1841109463,Скат 350М,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ТЕХНОДРОН, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕХНОДРОН""",1247700354175,9704241986,"Скворец-7
Скворец-10
Скворец-Z
Скворец PRO","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ВЫСОТА, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫСОТА""",1257700096060,9728151548,Сова,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",сова-обучение.рф
"КПБ ПОЛЕТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСТРУКТОРСКОЕ ПРОИЗВОДСТВЕННОЕ БЮРО ""ПОЛЕТ""",1246200002102,6200003419,"Сокол, Вултур Р10, сеткометы","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kpb-polet.ru
"УМНЫЕ ПТИЦЫ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМНЫЕ ПТИЦЫ""",1241800009703,1800020960,Сорока,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"НПП АДВЕНТ-АЭРО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АДВЕНТ-АЭРО""",1247800101955,7805818803,Струна,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",advent-aero.ru
"БЕСПИЛОТНЫЕ СИСТЕМЫ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕСПИЛОТНЫЕ СИСТЕМЫ""",1121831007759,1831156383,Суперкам,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",supercam.aero
"СУПЕРКАМ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУПЕРКАМ""",1181832023691,1841082162,Суперкам,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",supercam.aero
"КБ ДУЛКЫН-АЭРО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСТРУКТОРСКОЕ БЮРО ""ДУЛКЫН-АЭРО""",1231600038603,1655496864,Татарин,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/dulkin16
"РДР-ГРУПП, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ ДРОН РЕЙСИНГ - ГРУПП""",1187746149216,7726422252,Тип-450,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"УРАЛДРОНЗАВОД, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛДРОНЗАВОД""",1236600057011,6671284030,"Упырь, Бердыш","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",uraldronzavod.ru
"ЦБС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР БЕСПИЛОТНЫХ СИСТЕМ""",1237100001467,7100032961,"Фобия, Каракурт, Сольпуга","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",cbstula.ru
"САХА ДРОН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САХА ДРОН""",1231400002063,1400019110,"Хотой-10, ретрансляторы","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",sakhadrone.ru
"НЦБС КОНСАЛТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЦБС КОНСАЛТ""",1241800007063,1800018337,Шершень,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/s/ncbs18
"НЦБС, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНЫЙ ЦЕНТР БЕСПИЛОТНЫХ СИСТЕМ""",1241800010363,1800021629,Шершень,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/s/ncbs18
"НЦБС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЦБС""",1231800008659,1840120560,Шершень,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/s/ncbs18
"ДРОН СОЛЮШНС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРОН СОЛЮШНС""",1187746132870,7716892964,Шмель,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"АЭРОТЕХ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЭРОТЕХ""",1227700266199,9710098212,"Шмель, Д-11-1","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"АА, ООО НПК","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НПК ""АТЛАНТ АЭРО""",1236100034411,6154166381,,Связанная компания,
"АВТОТЕХ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОНОМНЫЕ ТЕХНОЛОГИИ""",1247700242492,9729372148,,Связанная компания,
"АГ-ЛОГИСТИК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГ-ЛОГИСТИК""",1237700467652,9728100494,,Импортер запчастей,"ag-logistik.ru, https://ag-logist.com/"
"АДУМС, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОНОМНЫЕ ДИСТАНЦИОННО УПРАВЛЯЕМЫЕ МЕХАНИЧЕСКИЕ СИСТЕМЫ""",1247800045272,7802952790,,Связанная компания,
"АМУЛЕТ-С, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМУЛЕТ-С""",1223600021336,3662302993,,Связанная компания (ПО),https://amulet-s.ru/products/
"АРХАНГЕЛ, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВОЕННО-ТЕХНИЧЕСКОЙ ПОДДЕРЖКИ ЗАЩИТНИКОВ ОТЕЧЕСТВА И ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ НАСЕЛЕНИЯ ""АРХАНГЕЛ""",1242300005640,2315233718,,Спортивная ассоциация,"t.me/s/projectArchangel, https://vk.com/tacticmedicsvo"
АССОЦИАЦИЯ БАС СИБИРИ,СИБИРСКАЯ АССОЦИАЦИЯ РАЗРАБОТЧИКОВ И ПРОИЗВОДИТЕЛЕЙ БЕСПИЛОТНЫХ АВТОМАТИЗИРОВАННЫХ СИСТЕМ,1255400002230,5406845872,,Связанная компания,
"АСФПВ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСФПВ""",1237800134879,7804705606,,"Производство, поставка, обучение",t.me/asfpv
"АТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТ""",1246100019527,6166131263,,Связанная компания,
"АТАМАНОВА, ООО КБ","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КБ ""АТАМАНОВА""",1237700493161,7734481300,,Связанная компания,
"АТЛАС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАС""",1231800015688,1800005345,,Импортер запчастей,
"АЭРОКОМ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЭРОКОМ""",1190327006781,326568462,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"БЕСПИЛОТНЫЕ АППАРАТЫ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕСПИЛОТНЫЕ АППАРАТЫ""",1232500009719,2543174660,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"БОЕВЫЕ ТЕХНОЛОГИИ ПРО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОЕВЫЕ ТЕХНОЛОГИИ ПРО""",1253300002295,3300021328,,Ритейл,irptorg.ru
"БОЕВЫЕ ТЕХНОЛОГИИ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОЕВЫЕ ТЕХНОЛОГИИ""",1235200037610,5262393781,,Ритейл,irptorg.ru
"ВИТ ЭРА, ФГАУ","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ ИННОВАЦИОННЫЙ ТЕХНОПОЛИС ""ЭРА""",1032502119715,2539025440,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ВИХРЬ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИХРЬ""",1247800013801,7813678099,,Связанная компания,
"ВОЛДЖЕТ АВИА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛДЖЕТ АВИА""",1237700254153,7707487470,,Связанная компания,
"ВТС ЭРА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРТУАЛЬНЫЕ ТРЕНАЖЕРНЫЕ СИСТЕМЫ ЭРА""",1226100022060,6154163285,,"Образование, ПО",systemvr.ru
"ВЬЮ ЛАБ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЬЮ ЛАБ""",1247700023174,9704233086,,Связанная компания,view-lab.ru
"ГОРИЗОНТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРИЗОНТ""",1227800133483,7811781051,,Связанная компания,
"ДИДЖИТАЛ ЛАБ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИДЖИТАЛ ЛАБ""",1227700421519,9731095861,,Связанная компания,
"ДРОНМОТОРС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРОНМОТОРС""",1237700670151,7716987736,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",https://t.me/s/dronmotors
"ЗАВОД ЮПИТЕР, ЗАО","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАВОД ЮПИТЕР""",1057806863883,7838027959,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ЗАЛА АЭРО, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАЛА АЭРО""",1247700258651,9715478507,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ИНТЕРНЕШНЛ ДРОН СОЛЮШНС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРНЕШНЛ ДРОН СОЛЮШНС""",1217700230880,9724047962,,Связанная компания,
"ИРПТОРГ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРПТОРГ""",1195275025670,5258145401,,Ритейл,irptorg.ru
"ИТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОВАЦИИ ТЕХНОЛОГИЙ""",1247700604140,7730327700,,Связанная компания,
"КАЙСАНТ, ООО НПО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КАЙСАНТ""",1227700641805,7733393203,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kaysant.ru
"КЛАУД БЭЙС СТЭЙШН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛАУД БЭЙС СТЭЙШН""",1167746428255,7714386779,,Связанная компания,
"КУРСИР, ООО",ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КУРСИР,1157451016106,7451400357,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",https://cursir.com/
"ЛЮМОС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮМОС""",1167847431400,7842121055,,Импортер запчастей,
"МПТМ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МПТМ""",1257700021468,9714068459,,Связанная компания,
"НЕБЕСНЫЙ ВОИН, АНО ВПРОЦ","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВОЕННО-ПАТРИОТИЧЕСКИЙ РЕАБИЛИТАЦИОННО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""НЕБЕСНЫЙ ВОИН""",1240400002567,400026638,,Связанная компания,
"НЕБО, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ МЕЖВЕДОМСТВЕННЫЙ ЦЕНТР РАЗВИТИЯ БЕСПИЛОТНОЙ АВИАЦИИ ""НЕБО""",1247700489068,9714054167,,Спортивная ассоциация,
"НИЖЕГОРОДСКИЙ БЕСПИЛОТНИК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИЖЕГОРОДСКИЙ БЕСПИЛОТНИК""",1245200008800,5260494488,,Связанная компания,
"НЛК-СИСТЕМА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЛК-СИСТЕМА""",1236100000146,6141059858,,Связанная компания,
"НОВОРОССИЙСКАЯ АКАДЕМИЯ ПОДГОТОВКИ ОПЕРАТОРОВ БПЛА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОРОССИЙСКАЯ АКАДЕМИЯ ПОДГОТОВКИ ОПЕРАТОРОВ БПЛА""",1242300055205,2315237173,,Обучение,
"НПК ЭСК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС ЭНЕРГЕТИЧЕСКИЕ СИСТЕМЫ И КОМПОНЕНТЫ""",1226600005719,6681012639,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"НПП АДВЕНТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АДВЕНТ""",1069847569714,7839348320,,Связанная компания,
"НПП БАТ, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ БЕСПИЛОТНЫЕ АВИАЦИОННЫЕ ТЕХНОЛОГИИ""",1237700769701,9718238013,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"НПЦ БАС НИЖЕГОРОДСКОЙ ОБЛАСТИ, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР БЕСПИЛОТНЫХ АВИАЦИОННЫХ СИСТЕМ НИЖЕГОРОДСКОЙ ОБЛАСТИ""",1245200020010,5259157632,,Управление,npc-nnov.ru
"НПЦ БАС ЯО, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР БЕСПИЛОТНЫХ АВИАЦИОННЫХ СИСТЕМ ЯРОСЛАВСКОЙ ОБЛАСТИ""",1247600005201,7610142009,,Управление,
"НПЦ БАСИРТК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР БЕСПИЛОТНЫХ АВИАЦИОННЫХ СИСТЕМ И РОБОТОТЕХНИЧЕСКИХ КОМПЛЕКСОВ""",1243300000789,3300009049,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"НПЦ КОЛЫБЕЛЬ БАС КАЛУЖСКОЙ ОБЛАСТИ, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР БЕСПИЛОТНЫХ АВИАЦИОННЫХ СИСТЕМ КАЛУЖСКОЙ ОБЛАСТИ""",1244000009285,4000018911,,Обучение,
"ОКБ АСТРОН, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОПТИКО-МЕХАНИЧЕСКОЕ КОНСТРУКТОРСКОЕ БЮРО ""АСТРОН""",1155027001690,5027224977,,Связанная компания,"astrohn-aero.ru, astrohn.ru"
"ОКБР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКОЕ КОНСТРУКТОРСКОЕ БЮРО РОБОТОТЕХНИКИ""",1255500003560,5505074684,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ОМНИСКАЙ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМНИСКАЙ""",1217700262284,9724049871,,Связанная компания,
"ОМНИТРЕЙД, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМНИТРЕЙД""",1235000040076,5024231091,,Импортер запчастей,
"ПАТРИОТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАТРИОТ""",1237800010029,7840104093,,Производство дронов,
"ПАТРИОТ, ОРГАНИЗАЦИЯ ДРОННОГО СПОРТА И НВП","МОСКОВСКАЯ ОБЛАСТНАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ДРОННОГО СПОРТА И НАЧАЛЬНОЙ ВОЕННОЙ ПОДГОТОВКИ ""ПАТРИОТ""",1245000047533,5001159699,,Спортивная ассоциация,
"ПКЦСН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТНО-КОНСТРУКТОРСКИЙ ЦЕНТР СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ""",1227800144472,7802932184,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",pkcsn.ru
"ПОЛЕТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛЕТ""",1247700357750,7708436090,,Связанная компания,
"ПОЛИГОНАТОР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""ПОЛИГОНАТОР""",1166196109760,6154146307,,Связанная компания,
"ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ АЗИМУТ, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""АЗИМУТ""",1247700574770,9728140105,,Связанная компания,ssnr.ru
"ПРОМ-ТЕХ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМ-ТЕХ""",1246100019373,6163233330,,Связанная компания,
"ПРОСТОР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОСТОР""",1187847189364,7842156185,,Ритейл,skyindustry.ru
"РАДАР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДАР""",1237700387297,9705201129,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",radar-rf.ru
"РАЗ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОСТОВСКИЙ АВИАЦИОННЫЙ ЗАВОД""",1236100027954,6141060765,,Производство,raz.aero
"РБС ГАРПИЯ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РБС ГАРПИЯ""",1227700782100,9703119694,,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
